ox_mass,fuel_mass,cstar,mass_factor,cg_factor,slosh_lateral_damping,slosh_axial_damping,throttle_rate_limit,throttle_latency,tvc_actuator_rate_limit,tvc_actuator_latency,engine_off_axis_y,engine_off_axis_z,uwind,vwind,RunID,Seed
16.2260739222684,13.6082747611092,0.863480516248139,0.995698360966621,1.00880531115389,0.0418293941837772,0.3,90,0.01,15.617674006019,0.01,0.00281733439188278,0.00286341399199335,-4.83069560444409,-1.77899060625546,1,43
15.4434918971451,12.1922078987419,0.850031658087347,0.994114507933022,1.00002057819617,0.0289975386589255,0.3,90,0.01,15.206805618609,0.01,-0.00450855603399269,-0.00858405921283639,-3.41182646263691,-2.82888342391268,2,44
15.1117431991437,13.444973815884,0.838080769626718,0.989565132286041,1.00798993583181,0.0433026016133173,0.3,90,0.01,14.185116752506,0.01,-0.00526609380420047,0.00861236713079113,1.99760897155549,-3.42553754150617,3,45
15.9089983574956,12.3663961192135,0.854950113185842,0.998726697961115,0.994765746981425,0.0515378051292366,0.3,90,0.01,15.0580387022877,0.01,0.00490958235949366,0.00886968573566795,-3.67151293898766,-0.834556185035225,4,46
16.5182514616406,13.6306700284079,0.853704504165905,1.0067243859223,1.00113490886815,0.0490224835607067,0.3,90,0.01,15.1104655199868,0.01,-0.0027683988085797,0.00413522319146433,-2.36771182329868,2.21112272847603,5,47
16.6182789307801,12.1088788767483,0.862563006432762,1.00554286575824,0.99191044373072,0.0482473391262197,0.3,90,0.01,14.3939741482208,0.01,0.00836222589226896,-0.00191279552087889,0.393382059531787,-4.16540039200707,6,48
16.9075665506533,13.2083858980554,0.844309155516562,1.01672439349194,0.995716643689684,0.0478133949586569,0.3,90,0.01,15.6566604965408,0.01,0.00932942848583348,-0.000891268228503085,-3.20865930440535,3.91135761444573,7,49
15.2388297729298,12.8656993925134,0.853370472617383,1.00105037730952,0.999569245968935,0.0287643277712776,0.3,90,0.01,15.4773769837145,0.01,0.0011112810839042,-0.00385929246100203,4.37172865776222,-0.46755332273897,8,50
15.3047699072366,12.058040585729,0.850476175727536,0.991445827134638,0.993365164930515,0.0379594076530814,0.3,90,0.01,14.2974465696532,0.01,0.00473524095222096,-0.00444315884881943,-3.73542970419595,1.76437323323628,9,51
16.6067083514811,12.2305073107439,0.862819990381029,0.983423532485059,1.00140676504815,0.0300000651137196,0.3,90,0.01,14.2801953743024,0.01,0.00809572849093461,-0.00406907125328561,-4.54246917694857,-3.6511269458913,10,52
15.8382941585898,12.1564820003129,0.836822654921835,1.00458491262565,0.999357322460372,0.0207184684482898,0.3,90,0.01,14.9410041434843,0.01,-0.00991362748203413,-0.00756619991248417,-1.35732960937172,-2.66055854747835,11,53
16.4283408087342,13.1387596457136,0.831576736929962,1.00093158271912,0.997604397707541,0.0423339702564794,0.3,90,0.01,15.0429570807127,0.01,-0.00904310542054168,-0.00827213259849394,3.65559610751923,-3.73918111624808,12,54
15.6601284629347,13.8026612819293,0.847626130392675,0.985908184753555,1.00263433180828,0.0517693150278232,0.3,90,0.01,15.9100981344363,0.01,0.00306595960628554,-0.00414959015397934,2.55308622970545,-2.01623189653912,13,55
15.2722628997282,12.6400534371142,0.868569154121792,0.984068662519965,0.994834851436212,0.0508227769000525,0.3,90,0.01,15.7113540762206,0.01,0.00938137102020994,-0.00121308433566476,4.27184233883274,0.778253389297893,14,56
